current_role,data_vis_lib,prog_language,proportion_time-Gathering data,proportion_time-Cleaning data,proportion_time-Visualizing data,proportion_time-Model building/model selection,proportion_time-Putting the model into production,proportion_time-Finding insights in the data and communicating with stakeholders
Data Scientist,Seaborn,Python,20.0,50.0,5.0,10.0,2.0,10.0
Software Engineer,Matplotlib,Python,20.0,20.0,20.0,20.0,10.0,10.0
Software Engineer,Matplotlib,C/C++,20.0,5.0,5.0,30.0,20.0,20.0
Student,Seaborn,Python,10.0,40.0,10.0,10.0,10.0,20.0
Student,,Python,10.0,50.0,5.0,35.0,0.0,0.0
Business Analyst,Plotly,Python,20.0,10.0,30.0,20.0,10.0,10.0
Data Analyst,Seaborn,Scala,0.0,50.0,25.0,10.0,10.0,5.0
Data Scientist,ggplot2,Python,0.0,30.0,10.0,30.0,5.0,25.0
Data Scientist,Matplotlib,Python,20.0,20.0,10.0,30.0,10.0,10.0
Student,Matplotlib,Python,20.0,5.0,5.0,35.0,20.0,10.0
Software Engineer,,C/C++,20.0,10.0,5.0,30.0,20.0,15.0
Manager,Matplotlib,Python,50.0,10.0,15.0,10.0,2.0,13.0
Data Scientist,D3,Python,20.0,20.0,15.0,10.0,10.0,25.0
Software Engineer,,Python,10.0,10.0,10.0,20.0,20.0,20.0
Student,Matplotlib,Python,20.0,10.0,7.0,30.0,20.0,10.0
Student,Seaborn,,5.0,40.0,20.0,25.0,10.0,0.0
Software Engineer,Matplotlib,Python,40.0,30.0,5.0,10.0,7.5,7.5
Student,Matplotlib,Python,10.0,20.0,10.0,20.0,10.0,20.0
Student,,Python,50.0,10.0,10.0,10.0,10.0,10.0
Student,,,8.0,10.0,10.0,30.0,18.0,20.0
Data Analyst,Shiny,SQL,10.0,15.0,10.0,20.0,20.0,25.0
Student,ggplot2,,5.0,10.0,30.0,15.0,10.0,25.0
